id,name,zip_id:id
388,ZAMORA,l10n_co_base_location.CO051051_zip
389,ZONA INDUSTRIAL NO 2,l10n_co_base_location.CO051051_zip
390,ZONA INDUSTRIAL NO 3,l10n_co_base_location.CO051051_zip
391,EL CAFETAL,l10n_co_base_location.CO051052_zip
392,JOSÉ ANTONIO GALÁN,l10n_co_base_location.CO051052_zip
393,LA ESMERALDA,l10n_co_base_location.CO051052_zip
394,LA FLORIDA,l10n_co_base_location.CO051052_zip
395,LA GRAN AVENIDA,l10n_co_base_location.CO051052_zip
396,LA MADERA,l10n_co_base_location.CO051052_zip
397,LA PRADERA,l10n_co_base_location.CO051052_zip
398,LAS CABAÑAS,l10n_co_base_location.CO051052_zip
399,LAS CABAÑITAS,l10n_co_base_location.CO051052_zip
400,LOS SAUCES,l10n_co_base_location.CO051052_zip
401,MARUCHENGA,l10n_co_base_location.CO051052_zip
402,NUEVO,l10n_co_base_location.CO051052_zip
403,PARÍS,l10n_co_base_location.CO051052_zip
404,SALVADOR ALLENDE,l10n_co_base_location.CO051052_zip
405,ALTAVISTA,l10n_co_base_location.CO051053_zip
406,ANDALUCÍA,l10n_co_base_location.CO051053_zip
407,CENTRAL,l10n_co_base_location.CO051053_zip
408,CENTRO,l10n_co_base_location.CO051053_zip
409,CONGOLO,l10n_co_base_location.CO051053_zip
410,EL CAIRO,l10n_co_base_location.CO051053_zip
411,EL ROSARIO,l10n_co_base_location.CO051053_zip
412,ESPÍRITU SANTO,l10n_co_base_location.CO051053_zip
413,LA MESA,l10n_co_base_location.CO051053_zip
414,LAS GRANJAS,l10n_co_base_location.CO051053_zip
415,MANCHESTER,l10n_co_base_location.CO051053_zip
416,MILAGROSA,l10n_co_base_location.CO051053_zip
417,NAZARETH,l10n_co_base_location.CO051053_zip
418,PRADO,l10n_co_base_location.CO051053_zip
419,PUERTO BELLO,l10n_co_base_location.CO051053_zip
420,PÉREZ,l10n_co_base_location.CO051053_zip
421,RINCÓN SANTO,l10n_co_base_location.CO051053_zip
422,SALENTO,l10n_co_base_location.CO051053_zip
423,SAN JOSÉ OBRERO,l10n_co_base_location.CO051053_zip
424,SANTA ANA,l10n_co_base_location.CO051053_zip
425,SUÁREZ,l10n_co_base_location.CO051053_zip
426,ZONA INDUSTRIAL NO 1,l10n_co_base_location.CO051053_zip
427,BELLAVISTA,l10n_co_base_location.CO051054_zip
428,BRICEÑO,l10n_co_base_location.CO051054_zip
429,BUENOS AIRES,l10n_co_base_location.CO051054_zip
430,EL CARMELO,l10n_co_base_location.CO051054_zip
431,EL DUCADO,l10n_co_base_location.CO051054_zip
432,EL MIRADOR,l10n_co_base_location.CO051054_zip
433,EL PORVENIR,l10n_co_base_location.CO051054_zip
434,LA ALDEA,l10n_co_base_location.CO051054_zip
435,LA PRIMAVERA,l10n_co_base_location.CO051054_zip
436,LA SELVA,l10n_co_base_location.CO051054_zip
437,LOS ALPES,l10n_co_base_location.CO051054_zip
438,MARCO TULIO HENAO,l10n_co_base_location.CO051054_zip
439,PACHELLY,l10n_co_base_location.CO051054_zip
440,PARAÍSO,l10n_co_base_location.CO051054_zip
441,PLAYA RICA,l10n_co_base_location.CO051054_zip
442,SAN GABRIEL,l10n_co_base_location.CO051054_zip
443,SAN MARTÍN,l10n_co_base_location.CO051054_zip
444,TRAPICHE,l10n_co_base_location.CO051054_zip
445,URAPANES,l10n_co_base_location.CO051054_zip
446,VILLAS DEL SOL,l10n_co_base_location.CO051054_zip
